method,power,fdp,seed
vanilla,0.88,0.022222222222222223,386
multiple,0.98,0.0392156862745098,386
vanilla,0.52,0,387
multiple,0.94,0.020833333333333332,387
vanilla,0.6,0,388
multiple,0.96,0.04,388
vanilla,0.96,0.09433962264150944,389
multiple,0.98,0.02,389
vanilla,0.98,0.07547169811320754,390
multiple,0.96,0.02040816326530612,390
