method,power,fdp,seed
vanilla,0.86,0.1568627450980392,6
multiple,0.86,0.022727272727272728,6
vanilla,0.98,0.07547169811320754,7
multiple,0.92,0.02127659574468085,7
vanilla,0.92,0.061224489795918366,8
multiple,1,0.038461538461538464,8
vanilla,0.88,0.13725490196078433,9
multiple,0.96,0.04,9
vanilla,0.86,0.022727272727272728,10
multiple,0.94,0.020833333333333332,10
