method,power,fdp,seed
vanilla,0.84,0.023255813953488372,281
multiple,0.72,0,281
vanilla,0.68,0.08108108108108109,282
multiple,0.64,0.08571428571428572,282
vanilla,0.8,0.09090909090909091,283
multiple,0.7,0.027777777777777776,283
vanilla,0.88,0.06382978723404255,284
multiple,0.78,0.025,284
vanilla,0.82,0.046511627906976744,285
multiple,0.96,0.058823529411764705,285
