method,power,fdp,seed
vanilla,0.76,0.05,291
multiple,0.88,0.043478260869565216,291
vanilla,0.84,0.023255813953488372,292
multiple,0.92,0,292
vanilla,0.9,0.1346153846153846,293
multiple,0.92,0.02127659574468085,293
vanilla,0.78,0.04878048780487805,294
multiple,0.9,0.021739130434782608,294
vanilla,0.94,0.11320754716981132,295
multiple,0.88,0,295
