method,power,fdp,seed
vanilla,0.88,0.022222222222222223,396
multiple,0.96,0.02040816326530612,396
vanilla,0.86,0.0851063829787234,397
multiple,0.9,0.0625,397
vanilla,0.98,0.09259259259259259,398
multiple,1,0.038461538461538464,398
vanilla,0.96,0.14285714285714285,399
multiple,0.98,0.0392156862745098,399
vanilla,1,0.09090909090909091,400
multiple,0.98,0.02,400
