method,power,fdp,seed
vanilla,0.62,0.03125,136
multiple,0.74,0.02631578947368421,136
vanilla,0.9,0.0625,137
multiple,0.66,0,137
vanilla,0.4,0,138
multiple,0.86,0,138
vanilla,0.78,0,139
multiple,0.84,0,139
vanilla,0.86,0.06521739130434782,140
multiple,0.9,0,140
