method,power,fdp,seed
vanilla,0.88,0.022222222222222223,11
multiple,0.98,0.02,11
vanilla,0.94,0.04081632653061224,12
multiple,0.94,0,12
vanilla,0.96,0.04,13
multiple,1,0,13
vanilla,0.96,0.1864406779661017,14
multiple,0.96,0,14
vanilla,0.92,0.11538461538461539,15
multiple,1,0.05660377358490566,15
