method,power,fdp,v
mkn,0.7875,0.015625,0
pkn,0,0,0
pkn,0,0,0.25
pkn,0.475,0,0.5
pkn,0.7125,0,0.75
pkn,0.75,0,1
pkn,0.7625,0,1.25
pkn,0.7625,0,1.5
pkn,0.7625,0,1.75
pkn,0.7625,0,2
pkn,0.775,0.015873015873015872,2.25
pkn,0.775,0.015873015873015872,2.5
pkn,0.7875,0.015625,2.75
pkn,0.7875,0.015625,3
pkn,0.7875,0.015625,3.25
pkn,0.825,0.014925373134328358,3.5
pkn,0.8125,0.015151515151515152,3.75
pkn,0.825,0.029411764705882353,4
pkn,0.8375,0.028985507246376812,4.25
pkn,0.85,0.02857142857142857,4.5
pkn,0.85,0.02857142857142857,4.75
pkn,0.85,0.02857142857142857,5
