method,power,fdp,v
mkn,0.4875,0.07142857142857142,0
pkn,0,0,0
pkn,0,0,0.25
pkn,0,0,0.5
pkn,0.325,0.07142857142857142,0.75
pkn,0.4,0.08571428571428572,1
pkn,0.4,0.08571428571428572,1.25
pkn,0.4625,0.075,1.5
pkn,0.4875,0.07142857142857142,1.75
pkn,0.4875,0.07142857142857142,2
pkn,0.5,0.06976744186046512,2.25
pkn,0.525,0.06666666666666667,2.5
pkn,0.55,0.06382978723404255,2.75
pkn,0.6,0.058823529411764705,3
pkn,0.6,0.058823529411764705,3.25
pkn,0.625,0.07407407407407407,3.5
pkn,0.65,0.07142857142857142,3.75
pkn,0.65,0.08771929824561403,4
pkn,0.65,0.08771929824561403,4.25
pkn,0.675,0.1,4.5
pkn,0.6875,0.09836065573770492,4.75
pkn,0.6875,0.11290322580645161,5
