method,power,fdp,v
mkn,0.5125,0.023809523809523808,0
pkn,0,0,0
pkn,0,0,0.25
pkn,0,0,0.5
pkn,0.2375,0,0.75
pkn,0.3875,0,1
pkn,0.425,0,1.25
pkn,0.4625,0.02631578947368421,1.5
pkn,0.475,0.02564102564102564,1.75
pkn,0.5,0.024390243902439025,2
pkn,0.5125,0.023809523809523808,2.25
pkn,0.5125,0.023809523809523808,2.5
pkn,0.5125,0.023809523809523808,2.75
pkn,0.525,0.023255813953488372,3
pkn,0.525,0.023255813953488372,3.25
pkn,0.525,0.023255813953488372,3.5
pkn,0.525,0.023255813953488372,3.75
pkn,0.55,0.022222222222222223,4
pkn,0.55,0.022222222222222223,4.25
pkn,0.5625,0.021739130434782608,4.5
pkn,0.5875,0.020833333333333332,4.75
pkn,0.6,0.02040816326530612,5
