method,power,fdp,v
mkn,0.35,0.06666666666666667,0
pkn,0,0,0
pkn,0,0,0.25
pkn,0.2,0,0.5
pkn,0.2625,0,0.75
pkn,0.3,0.04,1
pkn,0.35,0.06666666666666667,1.25
pkn,0.35,0.06666666666666667,1.5
pkn,0.35,0.0967741935483871,1.75
pkn,0.3625,0.09375,2
pkn,0.375,0.11764705882352941,2.25
pkn,0.3875,0.11428571428571428,2.5
pkn,0.3875,0.11428571428571428,2.75
pkn,0.4125,0.13157894736842105,3
pkn,0.4125,0.15384615384615385,3.25
pkn,0.4375,0.14634146341463414,3.5
pkn,0.425,0.15,3.75
pkn,0.45,0.14285714285714285,4
pkn,0.4625,0.13953488372093023,4.25
pkn,0.4625,0.1590909090909091,4.5
pkn,0.475,0.15555555555555556,4.75
pkn,0.475,0.15555555555555556,5
