method,power,fdp,v
mkn,0.6875,0.03508771929824561,0
pkn,0,0,0
pkn,0,0,0.25
pkn,0,0,0.5
pkn,0.55,0,0.75
pkn,0.5875,0,1
pkn,0.6125,0,1.25
pkn,0.6,0,1.5
pkn,0.65,0.037037037037037035,1.75
pkn,0.675,0.03571428571428571,2
pkn,0.675,0.03571428571428571,2.25
pkn,0.675,0.03571428571428571,2.5
pkn,0.6875,0.03508771929824561,2.75
pkn,0.7,0.034482758620689655,3
pkn,0.7,0.05084745762711865,3.25
pkn,0.725,0.04918032786885246,3.5
pkn,0.75,0.047619047619047616,3.75
pkn,0.7625,0.046875,4
pkn,0.7625,0.046875,4.25
pkn,0.7625,0.046875,4.5
pkn,0.7875,0.045454545454545456,4.75
pkn,0.7875,0.05970149253731343,5
