method,power,fdp,v
mkn,0.625,0,0
pkn,0,0,0
pkn,0,0,0.25
pkn,0.15,0,0.5
pkn,0.4625,0,0.75
pkn,0.4875,0,1
pkn,0.525,0,1.25
pkn,0.575,0,1.5
pkn,0.5875,0,1.75
pkn,0.6125,0,2
pkn,0.6125,0,2.25
pkn,0.625,0,2.5
pkn,0.625,0.0196078431372549,2.75
pkn,0.625,0.0196078431372549,3
pkn,0.6375,0.03773584905660377,3.25
pkn,0.6375,0.07272727272727272,3.5
pkn,0.6625,0.07017543859649122,3.75
pkn,0.6875,0.06779661016949153,4
pkn,0.7,0.08196721311475409,4.25
pkn,0.6875,0.08333333333333333,4.5
pkn,0.7125,0.08064516129032258,4.75
pkn,0.7125,0.08064516129032258,5
