method,power,fdp,v
mkn,0.45,0.05263157894736842,0
pkn,0,0,0
pkn,0,0,0.25
pkn,0.125,0,0.5
pkn,0.275,0,0.75
pkn,0.375,0.0625,1
pkn,0.375,0.0625,1.25
pkn,0.425,0.05555555555555555,1.5
pkn,0.4375,0.05405405405405406,1.75
pkn,0.4625,0.05128205128205128,2
pkn,0.4875,0.04878048780487805,2.25
pkn,0.525,0.08695652173913043,2.5
pkn,0.525,0.08695652173913043,2.75
pkn,0.5375,0.10416666666666667,3
pkn,0.55,0.10204081632653061,3.25
pkn,0.55,0.10204081632653061,3.5
pkn,0.5625,0.11764705882352941,3.75
pkn,0.5625,0.11764705882352941,4
pkn,0.5625,0.1346153846153846,4.25
pkn,0.5625,0.1346153846153846,4.5
pkn,0.575,0.14814814814814814,4.75
pkn,0.6,0.14285714285714285,5
