method,power,fdp,v
mkn,0.9875,0.04819277108433735,0
pkn,0,0,0
pkn,0,0,0.25
pkn,0.825,0,0.5
pkn,0.9625,0,0.75
pkn,0.9875,0.0125,1
pkn,0.9875,0.0125,1.25
pkn,0.9875,0.0125,1.5
pkn,0.9875,0.0125,1.75
pkn,0.9875,0.0125,2
pkn,0.9875,0.024691358024691357,2.25
pkn,0.9875,0.024691358024691357,2.5
pkn,0.9875,0.024691358024691357,2.75
pkn,0.9875,0.036585365853658534,3
pkn,0.9875,0.036585365853658534,3.25
pkn,0.9875,0.036585365853658534,3.5
pkn,0.9875,0.04819277108433735,3.75
pkn,0.9875,0.04819277108433735,4
pkn,1,0.058823529411764705,4.25
pkn,1,0.058823529411764705,4.5
pkn,1,0.047619047619047616,4.75
pkn,1,0.058823529411764705,5
