method,power,fdp,v
mkn,0.925,0.013333333333333334,0
pkn,0,0,0
pkn,0,0,0.25
pkn,0,0,0.5
pkn,0.7125,0,0.75
pkn,0.775,0,1
pkn,0.8,0,1.25
pkn,0.8125,0,1.5
pkn,0.825,0,1.75
pkn,0.85,0.014492753623188406,2
pkn,0.875,0.014084507042253521,2.25
pkn,0.8875,0.013888888888888888,2.5
pkn,0.875,0.014084507042253521,2.75
pkn,0.8875,0.013888888888888888,3
pkn,0.9,0.0136986301369863,3.25
pkn,0.925,0.013333333333333334,3.5
pkn,0.925,0.013333333333333334,3.75
pkn,0.925,0.013333333333333334,4
pkn,0.925,0.013333333333333334,4.25
pkn,0.925,0.013333333333333334,4.5
pkn,0.925,0.013333333333333334,4.75
pkn,0.925,0.013333333333333334,5
