method,power,fdp,v
mkn,1,0.012345679012345678,0
pkn,0,0,0
pkn,0,0,0.25
pkn,0.6125,0,0.5
pkn,0.925,0,0.75
pkn,0.9625,0.01282051282051282,1
pkn,0.975,0.012658227848101266,1.25
pkn,0.975,0.012658227848101266,1.5
pkn,0.9875,0.0125,1.75
pkn,0.9875,0.0125,2
pkn,0.9875,0.0125,2.25
pkn,0.9875,0.0125,2.5
pkn,0.9875,0.0125,2.75
pkn,0.9875,0.0125,3
pkn,0.9875,0.0125,3.25
pkn,0.9875,0.0125,3.5
pkn,1,0.012345679012345678,3.75
pkn,1,0.012345679012345678,4
pkn,1,0.012345679012345678,4.25
pkn,1,0.012345679012345678,4.5
pkn,1,0.012345679012345678,4.75
pkn,1,0.012345679012345678,5
