method,power,fdp,v
mkn,0.9375,0.025974025974025976,0
pkn,0,0,0
pkn,0,0,0.25
pkn,0.725,0,0.5
pkn,0.7875,0,0.75
pkn,0.8125,0,1
pkn,0.8375,0,1.25
pkn,0.8625,0.014285714285714285,1.5
pkn,0.85,0.014492753623188406,1.75
pkn,0.875,0.027777777777777776,2
pkn,0.8875,0.0273972602739726,2.25
pkn,0.8875,0.0273972602739726,2.5
pkn,0.925,0.02631578947368421,2.75
pkn,0.9375,0.025974025974025976,3
pkn,0.9375,0.025974025974025976,3.25
pkn,0.9375,0.025974025974025976,3.5
pkn,0.9375,0.025974025974025976,3.75
pkn,0.9375,0.025974025974025976,4
pkn,0.9375,0.025974025974025976,4.25
pkn,0.9375,0.025974025974025976,4.5
pkn,0.9375,0.025974025974025976,4.75
pkn,0.9375,0.025974025974025976,5
