method,power,fdp,v
mkn,0,0,0
pkn,0,0,0
pkn,0,0,0.25
pkn,0,0,0.5
pkn,0.225,0,0.75
pkn,0.2625,0.045454545454545456,1
pkn,0.275,0.043478260869565216,1.25
pkn,0.3,0.04,1.5
pkn,0.3875,0.03125,1.75
pkn,0.3875,0.03125,2
pkn,0.4125,0.029411764705882353,2.25
pkn,0.4125,0.029411764705882353,2.5
pkn,0.4125,0.029411764705882353,2.75
pkn,0.4375,0.05405405405405406,3
pkn,0.4625,0.05128205128205128,3.25
pkn,0.45,0.05263157894736842,3.5
pkn,0.5125,0.046511627906976744,3.75
pkn,0.55,0.06382978723404255,4
pkn,0.55,0.06382978723404255,4.25
pkn,0.5625,0.0625,4.5
pkn,0.5625,0.0625,4.75
pkn,0.5625,0.0625,5
