method,power,fdp,v
mkn,0.8625,0.014285714285714285,0
pkn,0,0,0
pkn,0,0,0.25
pkn,0,0,0.5
pkn,0.725,0,0.75
pkn,0.8125,0,1
pkn,0.8125,0,1.25
pkn,0.825,0,1.5
pkn,0.825,0.014925373134328358,1.75
pkn,0.8375,0.014705882352941176,2
pkn,0.85,0.014492753623188406,2.25
pkn,0.8625,0.014285714285714285,2.5
pkn,0.85,0.014492753623188406,2.75
pkn,0.8625,0.014285714285714285,3
pkn,0.8625,0.014285714285714285,3.25
pkn,0.8625,0.014285714285714285,3.5
pkn,0.8625,0.014285714285714285,3.75
pkn,0.875,0.014084507042253521,4
pkn,0.875,0.014084507042253521,4.25
pkn,0.875,0.014084507042253521,4.5
pkn,0.8875,0.013888888888888888,4.75
pkn,0.9125,0.013513513513513514,5
