method,power,fdp,v
mkn,0.6875,0.03508771929824561,0
pkn,0,0,0
pkn,0,0,0.25
pkn,0,0,0.5
pkn,0.375,0,0.75
pkn,0.6,0.02040816326530612,1
pkn,0.6125,0.0392156862745098,1.25
pkn,0.6125,0.0392156862745098,1.5
pkn,0.675,0.03571428571428571,1.75
pkn,0.675,0.03571428571428571,2
pkn,0.6875,0.03508771929824561,2.25
pkn,0.6875,0.03508771929824561,2.5
pkn,0.7,0.034482758620689655,2.75
pkn,0.7,0.034482758620689655,3
pkn,0.7125,0.03389830508474576,3.25
pkn,0.725,0.04918032786885246,3.5
pkn,0.725,0.04918032786885246,3.75
pkn,0.7625,0.046875,4
pkn,0.7625,0.046875,4.25
pkn,0.7625,0.046875,4.5
pkn,0.7625,0.06153846153846154,4.75
pkn,0.7625,0.06153846153846154,5
