method,power,fdp,v
mkn,0.9,0.05263157894736842,0
pkn,0,0,0
pkn,0,0,0.25
pkn,0.525,0,0.5
pkn,0.725,0,0.75
pkn,0.7625,0,1
pkn,0.775,0,1.25
pkn,0.7875,0,1.5
pkn,0.8375,0.014705882352941176,1.75
pkn,0.8625,0.028169014084507043,2
pkn,0.875,0.027777777777777776,2.25
pkn,0.875,0.0410958904109589,2.5
pkn,0.9,0.04,2.75
pkn,0.9,0.05263157894736842,3
pkn,0.9,0.05263157894736842,3.25
pkn,0.9,0.05263157894736842,3.5
pkn,0.9,0.05263157894736842,3.75
pkn,0.9,0.05263157894736842,4
pkn,0.9125,0.0641025641025641,4.25
pkn,0.9125,0.0641025641025641,4.5
pkn,0.9125,0.0641025641025641,4.75
pkn,0.925,0.06329113924050633,5
