method,power,fdp,v
mkn,0.9125,0.0641025641025641,0
pkn,0,0,0
pkn,0,0,0.25
pkn,0.425,0,0.5
pkn,0.7125,0,0.75
pkn,0.8625,0.041666666666666664,1
pkn,0.875,0.0410958904109589,1.25
pkn,0.8875,0.04054054054054054,1.5
pkn,0.8875,0.05333333333333334,1.75
pkn,0.9,0.05263157894736842,2
pkn,0.9,0.06493506493506493,2.25
pkn,0.9125,0.0641025641025641,2.5
pkn,0.9125,0.0641025641025641,2.75
pkn,0.9125,0.0641025641025641,3
pkn,0.9125,0.0641025641025641,3.25
pkn,0.9125,0.0641025641025641,3.5
pkn,0.9125,0.0641025641025641,3.75
pkn,0.9125,0.0641025641025641,4
pkn,0.9125,0.0641025641025641,4.25
pkn,0.9375,0.0625,4.5
pkn,0.925,0.06329113924050633,4.75
pkn,0.9375,0.0625,5
