method,power,fdp,v
mkn,0.7125,0.06557377049180328,0
pkn,0,0,0
pkn,0,0,0.25
pkn,0.325,0,0.5
pkn,0.525,0,0.75
pkn,0.55,0,1
pkn,0.5875,0,1.25
pkn,0.6,0,1.5
pkn,0.675,0.03571428571428571,1.75
pkn,0.675,0.03571428571428571,2
pkn,0.675,0.03571428571428571,2.25
pkn,0.7,0.06666666666666667,2.5
pkn,0.7,0.06666666666666667,2.75
pkn,0.7125,0.06557377049180328,3
pkn,0.725,0.06451612903225806,3.25
pkn,0.725,0.06451612903225806,3.5
pkn,0.725,0.06451612903225806,3.75
pkn,0.725,0.06451612903225806,4
pkn,0.725,0.06451612903225806,4.25
pkn,0.7375,0.06349206349206349,4.5
pkn,0.75,0.0625,4.75
pkn,0.75,0.0625,5
