method,power,fdp,v
mkn,0.35,0,0
pkn,0,0,0
pkn,0,0,0.25
pkn,0.125,0,0.5
pkn,0.225,0,0.75
pkn,0.3125,0,1
pkn,0.35,0,1.25
pkn,0.35,0,1.5
pkn,0.35,0,1.75
pkn,0.3875,0,2
pkn,0.3875,0.03125,2.25
pkn,0.4125,0.029411764705882353,2.5
pkn,0.4625,0.05128205128205128,2.75
pkn,0.475,0.05,3
pkn,0.475,0.05,3.25
pkn,0.475,0.05,3.5
pkn,0.475,0.05,3.75
pkn,0.4875,0.04878048780487805,4
pkn,0.4875,0.07142857142857142,4.25
pkn,0.525,0.06666666666666667,4.5
pkn,0.5375,0.0851063829787234,4.75
pkn,0.5375,0.0851063829787234,5
