method,power,fdp,v
mkn,0.4,0.058823529411764705,0
pkn,0,0,0
pkn,0,0,0.25
pkn,0,0,0.5
pkn,0.3125,0.038461538461538464,0.75
pkn,0.3375,0.03571428571428571,1
pkn,0.3375,0.03571428571428571,1.25
pkn,0.375,0.0625,1.5
pkn,0.4375,0.05405405405405406,1.75
pkn,0.45,0.05263157894736842,2
pkn,0.45,0.05263157894736842,2.25
pkn,0.45,0.05263157894736842,2.5
pkn,0.5,0.06976744186046512,2.75
pkn,0.5125,0.06818181818181818,3
pkn,0.525,0.06666666666666667,3.25
pkn,0.525,0.06666666666666667,3.5
pkn,0.5375,0.0851063829787234,3.75
pkn,0.55,0.10204081632653061,4
pkn,0.5625,0.1,4.25
pkn,0.575,0.11538461538461539,4.5
pkn,0.5875,0.12962962962962962,4.75
pkn,0.5875,0.12962962962962962,5
