method,power,fdp,v
mkn,0.5125,0.023809523809523808,0
pkn,0,0,0
pkn,0,0,0.25
pkn,0,0,0.5
pkn,0.3375,0,0.75
pkn,0.425,0,1
pkn,0.4375,0,1.25
pkn,0.4375,0,1.5
pkn,0.5,0.024390243902439025,1.75
pkn,0.525,0.023255813953488372,2
pkn,0.55,0.022222222222222223,2.25
pkn,0.55,0.022222222222222223,2.5
pkn,0.55,0.022222222222222223,2.75
pkn,0.575,0.02127659574468085,3
pkn,0.5875,0.020833333333333332,3.25
pkn,0.6125,0.02,3.5
pkn,0.6125,0.02,3.75
pkn,0.6125,0.02,4
pkn,0.6125,0.02,4.25
pkn,0.625,0.0196078431372549,4.5
pkn,0.625,0.0196078431372549,4.75
pkn,0.625,0.0196078431372549,5
