method,power,fdp,v
mkn,0.75,0.03225806451612903,0
pkn,0,0,0
pkn,0,0,0.25
pkn,0.4375,0,0.5
pkn,0.5125,0,0.75
pkn,0.625,0.0196078431372549,1
pkn,0.6625,0.018518518518518517,1.25
pkn,0.6875,0.017857142857142856,1.5
pkn,0.7125,0.017241379310344827,1.75
pkn,0.7375,0.03278688524590164,2
pkn,0.75,0.03225806451612903,2.25
pkn,0.75,0.03225806451612903,2.5
pkn,0.75,0.03225806451612903,2.75
pkn,0.75,0.03225806451612903,3
pkn,0.75,0.047619047619047616,3.25
pkn,0.75,0.047619047619047616,3.5
pkn,0.7625,0.046875,3.75
pkn,0.7875,0.045454545454545456,4
pkn,0.7875,0.045454545454545456,4.25
pkn,0.8,0.04477611940298507,4.5
pkn,0.8125,0.04411764705882353,4.75
pkn,0.8125,0.04411764705882353,5
