method,power,fdp,v
mkn,0.8375,0.0945945945945946,0
pkn,0,0,0
pkn,0,0,0.25
pkn,0,0,0.5
pkn,0.6375,0,0.75
pkn,0.75,0,1
pkn,0.7625,0,1.25
pkn,0.8,0.015384615384615385,1.5
pkn,0.8,0.015384615384615385,1.75
pkn,0.8,0.015384615384615385,2
pkn,0.8125,0.04411764705882353,2.25
pkn,0.8125,0.029850746268656716,2.5
pkn,0.8125,0.04411764705882353,2.75
pkn,0.8125,0.04411764705882353,3
pkn,0.825,0.07042253521126761,3.25
pkn,0.8375,0.0821917808219178,3.5
pkn,0.85,0.09333333333333334,3.75
pkn,0.8625,0.1038961038961039,4
pkn,0.8625,0.1038961038961039,4.25
pkn,0.8625,0.1038961038961039,4.5
pkn,0.875,0.10256410256410256,4.75
pkn,0.875,0.10256410256410256,5
