method,power,fdp,v
mkn,0.7375,0.016666666666666666,0
pkn,0,0,0
pkn,0,0,0.25
pkn,0,0,0.5
pkn,0.3875,0.03125,0.75
pkn,0.4875,0.025,1
pkn,0.55,0.022222222222222223,1.25
pkn,0.625,0.0196078431372549,1.5
pkn,0.6125,0.02,1.75
pkn,0.65,0.018867924528301886,2
pkn,0.6875,0.017857142857142856,2.25
pkn,0.7125,0.017241379310344827,2.5
pkn,0.7125,0.017241379310344827,2.75
pkn,0.75,0.01639344262295082,3
pkn,0.75,0.01639344262295082,3.25
pkn,0.75,0.01639344262295082,3.5
pkn,0.75,0.03225806451612903,3.75
pkn,0.75,0.03225806451612903,4
pkn,0.75,0.047619047619047616,4.25
pkn,0.75,0.0625,4.5
pkn,0.7625,0.06153846153846154,4.75
pkn,0.7625,0.07575757575757576,5
