method,power,fdp,v
mkn,0.9875,0.05952380952380952,0
pkn,0,0,0
pkn,0,0,0.25
pkn,0.95,0,0.5
pkn,0.9875,0,0.75
pkn,0.9875,0,1
pkn,0.9875,0,1.25
pkn,0.9875,0,1.5
pkn,0.9875,0,1.75
pkn,0.9875,0,2
pkn,0.9875,0.0125,2.25
pkn,0.9875,0.0125,2.5
pkn,0.9875,0.024691358024691357,2.75
pkn,0.9875,0.024691358024691357,3
pkn,0.9875,0.024691358024691357,3.25
pkn,0.9875,0.024691358024691357,3.5
pkn,0.9875,0.024691358024691357,3.75
pkn,0.9875,0.036585365853658534,4
pkn,0.9875,0.04819277108433735,4.25
pkn,0.9875,0.05952380952380952,4.5
pkn,0.9875,0.08139534883720931,4.75
pkn,0.9875,0.08139534883720931,5
