method,power,fdp,v
mkn,0.7125,0.03389830508474576,0
pkn,0,0,0
pkn,0,0,0.25
pkn,0,0,0.5
pkn,0.5,0.024390243902439025,0.75
pkn,0.6,0.02040816326530612,1
pkn,0.6,0.02040816326530612,1.25
pkn,0.65,0.037037037037037035,1.5
pkn,0.6875,0.03508771929824561,1.75
pkn,0.7,0.034482758620689655,2
pkn,0.7,0.034482758620689655,2.25
pkn,0.7125,0.03389830508474576,2.5
pkn,0.7125,0.03389830508474576,2.75
pkn,0.7125,0.05,3
pkn,0.7125,0.06557377049180328,3.25
pkn,0.7375,0.06349206349206349,3.5
pkn,0.75,0.0625,3.75
pkn,0.7625,0.06153846153846154,4
pkn,0.775,0.06060606060606061,4.25
pkn,0.7875,0.07352941176470588,4.5
pkn,0.7875,0.05970149253731343,4.75
pkn,0.7875,0.07352941176470588,5
