method,power,fdp,v
mkn,0.9375,0.038461538461538464,0
pkn,0,0,0
pkn,0,0,0.25
pkn,0,0,0.5
pkn,0.7875,0,0.75
pkn,0.825,0.014925373134328358,1
pkn,0.8625,0.014285714285714285,1.25
pkn,0.8625,0.014285714285714285,1.5
pkn,0.875,0.014084507042253521,1.75
pkn,0.925,0.02631578947368421,2
pkn,0.925,0.03896103896103896,2.25
pkn,0.925,0.03896103896103896,2.5
pkn,0.925,0.03896103896103896,2.75
pkn,0.9375,0.038461538461538464,3
pkn,0.9375,0.038461538461538464,3.25
pkn,0.9375,0.038461538461538464,3.5
pkn,0.9375,0.038461538461538464,3.75
pkn,0.9375,0.038461538461538464,4
pkn,0.9375,0.038461538461538464,4.25
pkn,0.95,0.0379746835443038,4.5
pkn,0.95,0.0379746835443038,4.75
pkn,0.95,0.0379746835443038,5
