method,power,fdp,v
mkn,0.95,0.012987012987012988,0
pkn,0,0,0
pkn,0,0,0.25
pkn,0.3875,0,0.5
pkn,0.7625,0,0.75
pkn,0.85,0.014492753623188406,1
pkn,0.85,0.014492753623188406,1.25
pkn,0.85,0.014492753623188406,1.5
pkn,0.8625,0.014285714285714285,1.75
pkn,0.8875,0.013888888888888888,2
pkn,0.925,0.013333333333333334,2.25
pkn,0.925,0.013333333333333334,2.5
pkn,0.925,0.013333333333333334,2.75
pkn,0.9375,0.013157894736842105,3
pkn,0.9375,0.013157894736842105,3.25
pkn,0.9375,0.013157894736842105,3.5
pkn,0.9375,0.013157894736842105,3.75
pkn,0.95,0.012987012987012988,4
pkn,0.95,0.012987012987012988,4.25
pkn,0.95,0.012987012987012988,4.5
pkn,0.95,0.012987012987012988,4.75
pkn,0.95,0.012987012987012988,5
