method,power,fdp,v
mkn,0,0,0
pkn,0,0,0
pkn,0,0,0.25
pkn,0.1125,0,0.5
pkn,0.15,0.07692307692307693,0.75
pkn,0.2125,0.05555555555555555,1
pkn,0.2125,0.05555555555555555,1.25
pkn,0.2875,0.041666666666666664,1.5
pkn,0.325,0.037037037037037035,1.75
pkn,0.3625,0.09375,2
pkn,0.4125,0.08333333333333333,2.25
pkn,0.4,0.08571428571428572,2.5
pkn,0.425,0.08108108108108109,2.75
pkn,0.425,0.08108108108108109,3
pkn,0.45,0.1,3.25
pkn,0.4625,0.075,3.5
pkn,0.5,0.09090909090909091,3.75
pkn,0.5,0.09090909090909091,4
pkn,0.5,0.09090909090909091,4.25
pkn,0.5375,0.0851063829787234,4.5
pkn,0.5375,0.0851063829787234,4.75
pkn,0.55,0.08333333333333333,5
