method,power,fdp,v
mkn,0.725,0.01694915254237288,0
pkn,0,0,0
pkn,0,0,0.25
pkn,0,0,0.5
pkn,0.475,0,0.75
pkn,0.6125,0,1
pkn,0.6375,0,1.25
pkn,0.6375,0,1.5
pkn,0.65,0,1.75
pkn,0.675,0.01818181818181818,2
pkn,0.675,0.01818181818181818,2.25
pkn,0.725,0.01694915254237288,2.5
pkn,0.725,0.01694915254237288,2.75
pkn,0.725,0.01694915254237288,3
pkn,0.7375,0.016666666666666666,3.25
pkn,0.7375,0.016666666666666666,3.5
pkn,0.7375,0.016666666666666666,3.75
pkn,0.7375,0.016666666666666666,4
pkn,0.7375,0.016666666666666666,4.25
pkn,0.7375,0.03278688524590164,4.5
pkn,0.7625,0.031746031746031744,4.75
pkn,0.7625,0.031746031746031744,5
