method,power,fdp,v
mkn,0.95,0.02564102564102564,0
pkn,0,0,0
pkn,0,0,0.25
pkn,0,0,0.5
pkn,0.7875,0,0.75
pkn,0.85,0,1
pkn,0.8875,0.013888888888888888,1.25
pkn,0.8625,0,1.5
pkn,0.9,0.0136986301369863,1.75
pkn,0.9,0.0136986301369863,2
pkn,0.9,0.0136986301369863,2.25
pkn,0.9,0.0136986301369863,2.5
pkn,0.925,0.013333333333333334,2.75
pkn,0.925,0.013333333333333334,3
pkn,0.9375,0.025974025974025976,3.25
pkn,0.925,0.02631578947368421,3.5
pkn,0.95,0.02564102564102564,3.75
pkn,0.95,0.02564102564102564,4
pkn,0.95,0.02564102564102564,4.25
pkn,0.95,0.02564102564102564,4.5
pkn,0.95,0.02564102564102564,4.75
pkn,0.95,0.02564102564102564,5
