method,power,fdp,v
mkn,0.2875,0,0
pkn,0,0,0
pkn,0,0,0.25
pkn,0.025,0,0.5
pkn,0.225,0,0.75
pkn,0.275,0,1
pkn,0.3,0,1.25
pkn,0.3375,0.03571428571428571,1.5
pkn,0.3625,0.03333333333333333,1.75
pkn,0.375,0.03225806451612903,2
pkn,0.375,0.03225806451612903,2.25
pkn,0.3875,0.03125,2.5
pkn,0.3875,0.03125,2.75
pkn,0.3875,0.03125,3
pkn,0.3875,0.03125,3.25
pkn,0.3875,0.03125,3.5
pkn,0.3875,0.03125,3.75
pkn,0.3875,0.03125,4
pkn,0.3875,0.03125,4.25
pkn,0.3875,0.03125,4.5
pkn,0.3875,0.03125,4.75
pkn,0.4,0.058823529411764705,5
