method,power,fdp,v
mkn,1,0.024390243902439025,0
pkn,0,0,0
pkn,0,0,0.25
pkn,0.875,0,0.5
pkn,0.95,0,0.75
pkn,0.95,0,1
pkn,0.95,0,1.25
pkn,0.9625,0.01282051282051282,1.5
pkn,0.975,0.012658227848101266,1.75
pkn,0.975,0.025,2
pkn,0.9875,0.024691358024691357,2.25
pkn,0.9875,0.024691358024691357,2.5
pkn,0.9875,0.024691358024691357,2.75
pkn,0.9875,0.024691358024691357,3
pkn,0.9875,0.024691358024691357,3.25
pkn,0.9875,0.024691358024691357,3.5
pkn,1,0.024390243902439025,3.75
pkn,1,0.024390243902439025,4
pkn,1,0.024390243902439025,4.25
pkn,1,0.024390243902439025,4.5
pkn,1,0.024390243902439025,4.75
pkn,1,0.024390243902439025,5
