method,power,fdp,v
mkn,0.65,0.018867924528301886,0
pkn,0,0,0
pkn,0,0,0.25
pkn,0,0,0.5
pkn,0.375,0,0.75
pkn,0.5125,0.023809523809523808,1
pkn,0.525,0.023255813953488372,1.25
pkn,0.575,0.02127659574468085,1.5
pkn,0.575,0.02127659574468085,1.75
pkn,0.625,0.0196078431372549,2
pkn,0.65,0.018867924528301886,2.25
pkn,0.6375,0.019230769230769232,2.5
pkn,0.65,0.018867924528301886,2.75
pkn,0.675,0.01818181818181818,3
pkn,0.675,0.01818181818181818,3.25
pkn,0.6875,0.03508771929824561,3.5
pkn,0.725,0.03333333333333333,3.75
pkn,0.7375,0.03278688524590164,4
pkn,0.75,0.03225806451612903,4.25
pkn,0.7375,0.03278688524590164,4.5
pkn,0.75,0.03225806451612903,4.75
pkn,0.7625,0.046875,5
