method,power,fdp,v
mkn,0.775,0.046153846153846156,0
pkn,0,0,0
pkn,0,0,0.25
pkn,0,0,0.5
pkn,0.5875,0,0.75
pkn,0.6625,0,1
pkn,0.6875,0,1.25
pkn,0.7125,0,1.5
pkn,0.725,0.04918032786885246,1.75
pkn,0.75,0.047619047619047616,2
pkn,0.7625,0.046875,2.25
pkn,0.7625,0.046875,2.5
pkn,0.775,0.046153846153846156,2.75
pkn,0.775,0.046153846153846156,3
pkn,0.775,0.046153846153846156,3.25
pkn,0.8,0.058823529411764705,3.5
pkn,0.825,0.05714285714285714,3.75
pkn,0.825,0.05714285714285714,4
pkn,0.825,0.05714285714285714,4.25
pkn,0.8375,0.056338028169014086,4.5
pkn,0.8375,0.056338028169014086,4.75
pkn,0.85,0.0684931506849315,5
