method,power,fdp,v
mkn,0.75,0.047619047619047616,0
pkn,0,0,0
pkn,0,0,0.25
pkn,0,0,0.5
pkn,0.5875,0,0.75
pkn,0.625,0.0196078431372549,1
pkn,0.6375,0.019230769230769232,1.25
pkn,0.65,0.018867924528301886,1.5
pkn,0.6625,0.018518518518518517,1.75
pkn,0.6875,0.03508771929824561,2
pkn,0.7,0.05084745762711865,2.25
pkn,0.725,0.04918032786885246,2.5
pkn,0.7375,0.04838709677419355,2.75
pkn,0.75,0.047619047619047616,3
pkn,0.775,0.046153846153846156,3.25
pkn,0.775,0.046153846153846156,3.5
pkn,0.775,0.046153846153846156,3.75
pkn,0.775,0.046153846153846156,4
pkn,0.775,0.046153846153846156,4.25
pkn,0.775,0.046153846153846156,4.5
pkn,0.775,0.06060606060606061,4.75
pkn,0.7875,0.05970149253731343,5
