method,power,fdp,v
mkn,0.725,0.01694915254237288,0
pkn,0,0,0
pkn,0,0,0.25
pkn,0,0,0.5
pkn,0.525,0,0.75
pkn,0.6125,0,1
pkn,0.625,0,1.25
pkn,0.6375,0,1.5
pkn,0.6625,0,1.75
pkn,0.675,0,2
pkn,0.6875,0.017857142857142856,2.25
pkn,0.7,0.017543859649122806,2.5
pkn,0.7125,0.017241379310344827,2.75
pkn,0.725,0.01694915254237288,3
pkn,0.725,0.03333333333333333,3.25
pkn,0.725,0.01694915254237288,3.5
pkn,0.75,0.03225806451612903,3.75
pkn,0.7625,0.046875,4
pkn,0.7625,0.06153846153846154,4.25
pkn,0.7625,0.07575757575757576,4.5
pkn,0.7625,0.07575757575757576,4.75
pkn,0.775,0.07462686567164178,5
