method,power,fdp,seedB
vanilla,0.68,0.17073170731707318,1
multiple,0.32,0.058823529411764705,1
vanilla,0.44,0.043478260869565216,2
multiple,0.44,0.043478260869565216,2
vanilla,0.24,0,3
multiple,0.44,0.043478260869565216,3
vanilla,0.58,0.03333333333333333,4
multiple,0.44,0.043478260869565216,4
vanilla,0.42,0.045454545454545456,5
multiple,0.44,0.043478260869565216,5
vanilla,0.52,0.037037037037037035,6
multiple,0.48,0.04,6
vanilla,0.58,0.06451612903225806,7
multiple,0.44,0.043478260869565216,7
vanilla,0.72,0.12195121951219512,8
multiple,0.42,0.045454545454545456,8
vanilla,0.44,0.08333333333333333,9
multiple,0.42,0.045454545454545456,9
vanilla,0.48,0.07692307692307693,10
multiple,0.44,0.043478260869565216,10
vanilla,0.46,0.08,11
multiple,0.44,0.043478260869565216,11
vanilla,0.24,0.07692307692307693,12
multiple,0.46,0.041666666666666664,12
vanilla,0.68,0.10526315789473684,13
multiple,0.4,0.047619047619047616,13
vanilla,0.18,0.1,14
multiple,0.42,0.045454545454545456,14
vanilla,0.4,0.047619047619047616,15
multiple,0.38,0.05,15
vanilla,0.6,0.16666666666666666,16
multiple,0.4,0.047619047619047616,16
vanilla,0.48,0.07692307692307693,17
multiple,0.46,0.041666666666666664,17
vanilla,0,0,18
multiple,0.42,0.045454545454545456,18
vanilla,0.42,0.045454545454545456,19
multiple,0.42,0.045454545454545456,19
vanilla,0.62,0.16216216216216217,20
multiple,0.48,0.07692307692307693,20
