method,power,fdp,seedB
vanilla,0.98,0.07547169811320754,1
multiple,0.98,0,1
vanilla,0.98,0.10909090909090909,2
multiple,1,0,2
vanilla,0.98,0,3
multiple,1,0,3
vanilla,0.92,0.02127659574468085,4
multiple,1,0,4
vanilla,0.96,0.04,5
multiple,0.98,0,5
vanilla,0.98,0.02,6
multiple,1,0,6
vanilla,0.9,0,7
multiple,0.96,0,7
vanilla,0.96,0,8
multiple,0.98,0,8
vanilla,0.96,0.09433962264150944,9
multiple,0.98,0,9
vanilla,1,0.0196078431372549,10
multiple,1,0,10
vanilla,0.98,0.02,11
multiple,1,0,11
vanilla,0.92,0,12
multiple,1,0,12
vanilla,0.98,0.07547169811320754,13
multiple,0.96,0,13
vanilla,0.98,0.09259259259259259,14
multiple,0.98,0,14
vanilla,0.96,0.058823529411764705,15
multiple,0.96,0,15
vanilla,0.96,0.04,16
multiple,1,0,16
vanilla,1,0.05660377358490566,17
multiple,1,0,17
vanilla,0.98,0.057692307692307696,18
multiple,1,0,18
vanilla,0.9,0,19
multiple,0.96,0,19
vanilla,0.96,0.058823529411764705,20
multiple,0.98,0,20
