method,power,fdp,seedB
vanilla,0.98,0.09259259259259259,1
multiple,0.98,0.02,1
vanilla,0.96,0.07692307692307693,2
multiple,0.98,0.02,2
vanilla,0.98,0.09259259259259259,3
multiple,0.98,0.02,3
vanilla,0.98,0.057692307692307696,4
multiple,0.98,0.02,4
vanilla,0.96,0.04,5
multiple,0.98,0.02,5
vanilla,0.96,0.14285714285714285,6
multiple,0.98,0.02,6
vanilla,0.96,0.09433962264150944,7
multiple,0.98,0.02,7
vanilla,0.98,0.125,8
multiple,0.98,0.02,8
vanilla,0.96,0.058823529411764705,9
multiple,0.98,0.02,9
vanilla,0.98,0.07547169811320754,10
multiple,0.98,0.02,10
vanilla,0.98,0.07547169811320754,11
multiple,0.98,0.02,11
vanilla,0.98,0.15517241379310345,12
multiple,0.98,0.02,12
vanilla,0.98,0.10909090909090909,13
multiple,0.98,0.02,13
vanilla,0.94,0.09615384615384616,14
multiple,0.98,0.02,14
vanilla,0.98,0.07547169811320754,15
multiple,0.98,0.02,15
vanilla,0.98,0.057692307692307696,16
multiple,0.98,0,16
vanilla,0.96,0.04,17
multiple,0.98,0.02,17
vanilla,0.94,0.020833333333333332,18
multiple,0.98,0.02,18
vanilla,0.98,0.10909090909090909,19
multiple,0.98,0.0392156862745098,19
vanilla,0.98,0.057692307692307696,20
multiple,0.98,0.02,20
