method,power,fdp,seedB
vanilla,0.84,0.17647058823529413,1
multiple,0.94,0.020833333333333332,1
vanilla,0.94,0.12962962962962962,2
multiple,0.94,0.0784313725490196,2
vanilla,0.92,0.1320754716981132,3
multiple,0.94,0.04081632653061224,3
vanilla,0.94,0.22950819672131148,4
multiple,0.96,0.07692307692307693,4
vanilla,0.98,0.1694915254237288,5
multiple,0.94,0.0784313725490196,5
vanilla,0.94,0.11320754716981132,6
multiple,0.94,0.06,6
vanilla,0.94,0.11320754716981132,7
multiple,0.94,0.0784313725490196,7
vanilla,0.9,0.11764705882352941,8
multiple,0.94,0.06,8
vanilla,0.94,0.0784313725490196,9
multiple,0.94,0.020833333333333332,9
vanilla,0.94,0.0784313725490196,10
multiple,0.94,0.06,10
vanilla,0.92,0.16363636363636364,11
multiple,0.94,0.04081632653061224,11
vanilla,0.94,0.0784313725490196,12
multiple,0.92,0.041666666666666664,12
vanilla,0.94,0.14545454545454545,13
multiple,0.94,0.06,13
vanilla,0.96,0.12727272727272726,14
multiple,0.94,0.06,14
vanilla,0.86,0.0851063829787234,15
multiple,0.94,0.06,15
vanilla,0.94,0.06,16
multiple,0.94,0.06,16
vanilla,0.94,0.21666666666666667,17
multiple,0.94,0.020833333333333332,17
vanilla,0.94,0.0784313725490196,18
multiple,0.94,0.0784313725490196,18
vanilla,0.92,0.09803921568627451,19
multiple,0.92,0.041666666666666664,19
vanilla,0.9,0.0625,20
multiple,0.94,0.020833333333333332,20
