method,power,fdp,seedB
vanilla,0.98,0.14035087719298245,1
multiple,1,0,1
vanilla,0.98,0.125,2
multiple,0.98,0,2
vanilla,0.98,0.057692307692307696,3
multiple,0.98,0,3
vanilla,0.98,0.09259259259259259,4
multiple,1,0,4
vanilla,0.96,0.04,5
multiple,0.98,0,5
vanilla,0.98,0.057692307692307696,6
multiple,1,0,6
vanilla,0.96,0.07692307692307693,7
multiple,0.98,0,7
vanilla,1,0.07407407407407407,8
multiple,1,0,8
vanilla,0.98,0.09259259259259259,9
multiple,0.98,0.02,9
vanilla,0.98,0.1694915254237288,10
multiple,1,0,10
vanilla,0.96,0.04,11
multiple,0.98,0,11
vanilla,0.98,0.07547169811320754,12
multiple,1,0,12
vanilla,0.98,0.0392156862745098,13
multiple,0.98,0,13
vanilla,1,0.12280701754385964,14
multiple,1,0,14
vanilla,1,0.16666666666666666,15
multiple,0.98,0,15
vanilla,0.98,0.18333333333333332,16
multiple,0.98,0,16
vanilla,1,0.12280701754385964,17
multiple,0.98,0,17
vanilla,0.98,0.14035087719298245,18
multiple,0.98,0,18
vanilla,0.96,0,19
multiple,1,0,19
vanilla,0.94,0.04081632653061224,20
multiple,0.98,0,20
