method,power,fdp,seedB
vanilla,0.98,0.09259259259259259,1
multiple,0.98,0,1
vanilla,0.92,0,2
multiple,0.98,0.02,2
vanilla,0.98,0.09259259259259259,3
multiple,0.98,0,3
vanilla,0.9,0,4
multiple,0.98,0,4
vanilla,0.88,0.043478260869565216,5
multiple,0.98,0,5
vanilla,0.94,0.09615384615384616,6
multiple,0.98,0.02,6
vanilla,0.98,0.125,7
multiple,0.98,0,7
vanilla,0.96,0.058823529411764705,8
multiple,0.98,0,8
vanilla,0.92,0.08,9
multiple,0.98,0,9
vanilla,0.98,0.10909090909090909,10
multiple,0.98,0,10
vanilla,0.9,0,11
multiple,0.98,0,11
vanilla,0.84,0,12
multiple,0.98,0,12
vanilla,0.94,0.06,13
multiple,0.98,0,13
vanilla,0.96,0.1111111111111111,14
multiple,0.98,0.02,14
vanilla,0.96,0.07692307692307693,15
multiple,0.98,0.02,15
vanilla,0.86,0.022727272727272728,16
multiple,0.98,0,16
vanilla,0.96,0.1111111111111111,17
multiple,0.98,0,17
vanilla,0.94,0.0784313725490196,18
multiple,0.98,0.02,18
vanilla,0.98,0.09259259259259259,19
multiple,0.98,0.02,19
vanilla,0.94,0.04081632653061224,20
multiple,0.98,0,20
