method,power,fdp,seedB
vanilla,0.88,0.10204081632653061,1
multiple,0.86,0.06521739130434782,1
vanilla,0.82,0.08888888888888889,2
multiple,0.86,0.06521739130434782,2
vanilla,0.84,0.06666666666666667,3
multiple,0.84,0.045454545454545456,3
vanilla,0.92,0.14814814814814814,4
multiple,0.86,0.044444444444444446,4
vanilla,0.78,0.025,5
multiple,0.86,0.044444444444444446,5
vanilla,0.9,0.16666666666666666,6
multiple,0.84,0.06666666666666667,6
vanilla,0.8,0.06976744186046512,7
multiple,0.84,0.06666666666666667,7
vanilla,0.78,0.04878048780487805,8
multiple,0.84,0.06666666666666667,8
vanilla,0.88,0.15384615384615385,9
multiple,0.86,0.06521739130434782,9
vanilla,0.74,0.075,10
multiple,0.86,0.06521739130434782,10
vanilla,0.84,0.14285714285714285,11
multiple,0.86,0.06521739130434782,11
vanilla,0.84,0.10638297872340426,12
multiple,0.86,0.06521739130434782,12
vanilla,0.86,0.1568627450980392,13
multiple,0.84,0.06666666666666667,13
vanilla,0.78,0.07142857142857142,14
multiple,0.84,0.06666666666666667,14
vanilla,0.82,0.08888888888888889,15
multiple,0.84,0.06666666666666667,15
vanilla,0.86,0.12244897959183673,16
multiple,0.86,0.06521739130434782,16
vanilla,0.84,0.10638297872340426,17
multiple,0.84,0.06666666666666667,17
vanilla,0.82,0.06818181818181818,18
multiple,0.84,0.06666666666666667,18
vanilla,0.8,0.06976744186046512,19
multiple,0.84,0.06666666666666667,19
vanilla,0.84,0.10638297872340426,20
multiple,0.86,0.06521739130434782,20
