method,power,fdp,seedB
vanilla,0.94,0.1896551724137931,1
multiple,0.92,0.041666666666666664,1
vanilla,0.84,0.08695652173913043,2
multiple,0.9,0.021739130434782608,2
vanilla,0.96,0.1864406779661017,3
multiple,0.92,0.041666666666666664,3
vanilla,0.78,0.025,4
multiple,0.9,0.021739130434782608,4
vanilla,0.84,0.06666666666666667,5
multiple,0.9,0.021739130434782608,5
vanilla,0.94,0.24193548387096775,6
multiple,0.88,0.022222222222222223,6
vanilla,0.92,0.09803921568627451,7
multiple,0.86,0.022727272727272728,7
vanilla,0.94,0.14545454545454545,8
multiple,0.92,0.041666666666666664,8
vanilla,0.84,0.06666666666666667,9
multiple,0.84,0.023255813953488372,9
vanilla,0.92,0.1320754716981132,10
multiple,0.9,0.021739130434782608,10
vanilla,0.86,0.06521739130434782,11
multiple,0.9,0.021739130434782608,11
vanilla,0.8,0.024390243902439025,12
multiple,0.86,0.022727272727272728,12
vanilla,0.8,0.09090909090909091,13
multiple,0.88,0.043478260869565216,13
vanilla,0.86,0.044444444444444446,14
multiple,0.92,0.041666666666666664,14
vanilla,0.8,0,15
multiple,0.9,0.021739130434782608,15
vanilla,0.8,0.047619047619047616,16
multiple,0.92,0.041666666666666664,16
vanilla,0.78,0.11363636363636363,17
multiple,0.92,0.02127659574468085,17
vanilla,0.88,0.12,18
multiple,0.92,0.02127659574468085,18
vanilla,0.76,0.02564102564102564,19
multiple,0.92,0.041666666666666664,19
vanilla,0.86,0.0851063829787234,20
multiple,0.92,0.02127659574468085,20
