method,power,fdp,seedB
vanilla,0.94,0.06,1
multiple,0.96,0.02040816326530612,1
vanilla,0.96,0.09433962264150944,2
multiple,0.94,0.020833333333333332,2
vanilla,0.88,0.022222222222222223,3
multiple,0.94,0.04081632653061224,3
vanilla,0.96,0.058823529411764705,4
multiple,0.94,0.020833333333333332,4
vanilla,0.92,0.041666666666666664,5
multiple,0.96,0.02040816326530612,5
vanilla,0.96,0.07692307692307693,6
multiple,0.96,0.02040816326530612,6
vanilla,0.94,0.04081632653061224,7
multiple,0.96,0.02040816326530612,7
vanilla,0.96,0.04,8
multiple,0.96,0.04,8
vanilla,0.92,0.08,9
multiple,0.96,0.02040816326530612,9
vanilla,0.94,0.0784313725490196,10
multiple,0.96,0.02040816326530612,10
vanilla,0.96,0.09433962264150944,11
multiple,0.96,0.02040816326530612,11
vanilla,0.96,0.12727272727272726,12
multiple,0.96,0.04,12
vanilla,0.9,0.11764705882352941,13
multiple,0.96,0.02040816326530612,13
vanilla,0.86,0,14
multiple,0.96,0.02040816326530612,14
vanilla,0.94,0.04081632653061224,15
multiple,0.96,0.02040816326530612,15
vanilla,0.94,0.06,16
multiple,0.94,0.020833333333333332,16
vanilla,0.94,0.04081632653061224,17
multiple,0.94,0.020833333333333332,17
vanilla,0.92,0.11538461538461539,18
multiple,0.96,0.04,18
vanilla,0.92,0.041666666666666664,19
multiple,0.96,0.04,19
vanilla,0.92,0.09803921568627451,20
multiple,0.96,0.02040816326530612,20
