method,power,fdp,seedB
vanilla,1,0.09090909090909091,1
multiple,1,0.038461538461538464,1
vanilla,1,0.038461538461538464,2
multiple,1,0.0196078431372549,2
vanilla,0.96,0.04,3
multiple,1,0.038461538461538464,3
vanilla,1,0.15254237288135594,4
multiple,1,0.05660377358490566,4
vanilla,0.96,0.12727272727272726,5
multiple,1,0.0196078431372549,5
vanilla,1,0.05660377358490566,6
multiple,1,0.0196078431372549,6
vanilla,1,0.10714285714285714,7
multiple,1,0.0196078431372549,7
vanilla,0.98,0,8
multiple,1,0.0196078431372549,8
vanilla,1,0.12280701754385964,9
multiple,1,0.038461538461538464,9
vanilla,0.98,0.057692307692307696,10
multiple,1,0.038461538461538464,10
vanilla,1,0.09090909090909091,11
multiple,1,0.038461538461538464,11
vanilla,0.98,0.0392156862745098,12
multiple,1,0.038461538461538464,12
vanilla,1,0.15254237288135594,13
multiple,1,0.0196078431372549,13
vanilla,1,0.16666666666666666,14
multiple,1,0.038461538461538464,14
vanilla,0.98,0.07547169811320754,15
multiple,1,0.0196078431372549,15
vanilla,0.98,0.07547169811320754,16
multiple,1,0.038461538461538464,16
vanilla,1,0.038461538461538464,17
multiple,1,0.0196078431372549,17
vanilla,0.96,0.04,18
multiple,1,0.038461538461538464,18
vanilla,0.98,0.057692307692307696,19
multiple,1,0.038461538461538464,19
vanilla,1,0.10714285714285714,20
multiple,1,0.0196078431372549,20
