method,power,fdp,seedB
vanilla,0.96,0.058823529411764705,1
multiple,0.9,0,1
vanilla,0.92,0.09803921568627451,2
multiple,0.92,0,2
vanilla,0.9,0.0425531914893617,3
multiple,0.92,0.02127659574468085,3
vanilla,0.9,0,4
multiple,0.94,0,4
vanilla,0.9,0.0425531914893617,5
multiple,0.92,0,5
vanilla,0.88,0.043478260869565216,6
multiple,0.92,0,6
vanilla,0.88,0.043478260869565216,7
multiple,0.9,0,7
vanilla,0.94,0.16071428571428573,8
multiple,0.9,0,8
vanilla,0.96,0.07692307692307693,9
multiple,0.92,0,9
vanilla,0.9,0.16666666666666666,10
multiple,0.94,0,10
vanilla,0.92,0.041666666666666664,11
multiple,0.92,0,11
vanilla,0.94,0.14545454545454545,12
multiple,0.92,0,12
vanilla,0.9,0,13
multiple,0.92,0.02127659574468085,13
vanilla,0.94,0.11320754716981132,14
multiple,0.94,0,14
vanilla,0.94,0.12962962962962962,15
multiple,0.92,0,15
vanilla,0.94,0.0784313725490196,16
multiple,0.92,0,16
vanilla,0.92,0.1320754716981132,17
multiple,0.92,0,17
vanilla,0.88,0,18
multiple,0.92,0,18
vanilla,0.84,0.023255813953488372,19
multiple,0.9,0,19
vanilla,0.96,0.058823529411764705,20
multiple,0.92,0,20
