method,power,fdp,seedB
vanilla,0.86,0.06521739130434782,1
multiple,0.84,0.023255813953488372,1
vanilla,0.76,0.05,2
multiple,0.88,0.022222222222222223,2
vanilla,0.9,0.1346153846153846,3
multiple,0.86,0.022727272727272728,3
vanilla,0.9,0.1509433962264151,4
multiple,0.86,0.022727272727272728,4
vanilla,0.84,0.08695652173913043,5
multiple,0.92,0.061224489795918366,5
vanilla,0.94,0.11320754716981132,6
multiple,0.84,0,6
vanilla,0.92,0.1320754716981132,7
multiple,0.82,0,7
vanilla,0.94,0.17543859649122806,8
multiple,0.86,0,8
vanilla,0.86,0.044444444444444446,9
multiple,0.82,0,9
vanilla,0.8,0.1111111111111111,10
multiple,0.84,0,10
vanilla,0.82,0.046511627906976744,11
multiple,0.9,0.08163265306122448,11
vanilla,0.92,0.14814814814814814,12
multiple,0.9,0.0625,12
vanilla,0.94,0.21666666666666667,13
multiple,0.88,0.043478260869565216,13
vanilla,0.66,0,14
multiple,0.86,0.022727272727272728,14
vanilla,0.94,0.22950819672131148,15
multiple,0.84,0.06666666666666667,15
vanilla,0.86,0.10416666666666667,16
multiple,0.86,0.022727272727272728,16
vanilla,0.86,0.044444444444444446,17
multiple,0.88,0.06382978723404255,17
vanilla,0.92,0.14814814814814814,18
multiple,0.86,0.044444444444444446,18
vanilla,0.98,0.20967741935483872,19
multiple,0.86,0.044444444444444446,19
vanilla,0.84,0.023255813953488372,20
multiple,0.86,0.022727272727272728,20
