method,power,fdp,seedB
vanilla,0.62,0.03125,1
multiple,0,0,1
vanilla,0.68,0.05555555555555555,2
multiple,0.52,0,2
vanilla,0,0,3
multiple,0.54,0,3
vanilla,0.54,0,4
multiple,0,0,4
vanilla,0.6,0.03225806451612903,5
multiple,0.5,0,5
vanilla,0.6,0.09090909090909091,6
multiple,0.48,0,6
vanilla,0.5,0,7
multiple,0,0,7
vanilla,0.5,0.07407407407407407,8
multiple,0.44,0,8
vanilla,0.56,0.06666666666666667,9
multiple,0.56,0,9
vanilla,0.6,0.0625,10
multiple,0.56,0,10
vanilla,0.42,0,11
multiple,0.5,0,11
vanilla,0.64,0.08571428571428572,12
multiple,0.52,0,12
vanilla,0.8,0.06976744186046512,13
multiple,0,0,13
vanilla,0.4,0,14
multiple,0,0,14
vanilla,0.64,0.08571428571428572,15
multiple,0,0,15
vanilla,0.22,0,16
multiple,0,0,16
vanilla,0.74,0.075,17
multiple,0.54,0,17
vanilla,0.4,0,18
multiple,0.5,0,18
vanilla,0.54,0.12903225806451613,19
multiple,0.48,0,19
vanilla,0.72,0.1,20
multiple,0.58,0,20
