method,power,fdp,seedB
vanilla,0.22,0,1
multiple,0,0,1
vanilla,0.5,0.10714285714285714,2
multiple,0,0,2
vanilla,0.4,0,3
multiple,0,0,3
vanilla,0.58,0.09375,4
multiple,0.56,0.06666666666666667,4
vanilla,0,0,5
multiple,0,0,5
vanilla,0.56,0.0967741935483871,6
multiple,0,0,6
vanilla,0.54,0.20588235294117646,7
multiple,0,0,7
vanilla,0,0,8
multiple,0,0,8
vanilla,0,0,9
multiple,0,0,9
vanilla,0.46,0,10
multiple,0,0,10
vanilla,0.56,0.06666666666666667,11
multiple,0,0,11
vanilla,0.4,0.047619047619047616,12
multiple,0,0,12
vanilla,0.7,0.14634146341463414,13
multiple,0,0,13
vanilla,0.6,0.0625,14
multiple,0,0,14
vanilla,0.38,0.05,15
multiple,0,0,15
vanilla,0,0,16
multiple,0,0,16
vanilla,0,0,17
multiple,0,0,17
vanilla,0.38,0.05,18
multiple,0,0,18
vanilla,0,0,19
multiple,0.44,0,19
vanilla,0.66,0.08333333333333333,20
multiple,0,0,20
