method,power,fdp,seedB
vanilla,0.64,0,1
multiple,0.62,0,1
vanilla,0.74,0.02631578947368421,2
multiple,0.78,0,2
vanilla,0.92,0.08,3
multiple,0.62,0,3
vanilla,0.84,0.045454545454545456,4
multiple,0.72,0,4
vanilla,0.4,0,5
multiple,0.66,0,5
vanilla,0.82,0.06818181818181818,6
multiple,0.62,0,6
vanilla,0.86,0.022727272727272728,7
multiple,0.7,0,7
vanilla,0.82,0.023809523809523808,8
multiple,0.64,0,8
vanilla,0.68,0,9
multiple,0.72,0,9
vanilla,0.72,0,10
multiple,0.76,0,10
vanilla,0.9,0.021739130434782608,11
multiple,0.72,0,11
vanilla,0.8,0.06976744186046512,12
multiple,0.66,0,12
vanilla,0.92,0.20689655172413793,13
multiple,0.74,0,13
vanilla,0.86,0.23214285714285715,14
multiple,0.62,0,14
vanilla,0.82,0,15
multiple,0.8,0,15
vanilla,0.72,0,16
multiple,0.8,0,16
vanilla,0.88,0.043478260869565216,17
multiple,0.72,0,17
vanilla,0.7,0,18
multiple,0.8,0,18
vanilla,0.86,0.022727272727272728,19
multiple,0.7,0,19
vanilla,0.94,0.06,20
multiple,0.6,0,20
