method,power,fdp,seedB
vanilla,0.9,0.08163265306122448,1
multiple,0.94,0,1
vanilla,0.94,0.09615384615384616,2
multiple,0.98,0,2
vanilla,0.94,0,3
multiple,0.96,0,3
vanilla,0.92,0.08,4
multiple,0.98,0,4
vanilla,0.94,0.12962962962962962,5
multiple,0.98,0,5
vanilla,0.96,0.21311475409836064,6
multiple,0.98,0,6
vanilla,0.94,0.14545454545454545,7
multiple,0.98,0,7
vanilla,0.94,0.06,8
multiple,0.96,0,8
vanilla,0.98,0.07547169811320754,9
multiple,0.98,0,9
vanilla,0.96,0.058823529411764705,10
multiple,0.96,0,10
vanilla,0.94,0,11
multiple,0.98,0,11
vanilla,0.96,0.02040816326530612,12
multiple,0.98,0,12
vanilla,0.94,0.0784313725490196,13
multiple,0.98,0,13
vanilla,0.96,0.14285714285714285,14
multiple,0.98,0,14
vanilla,0.88,0.043478260869565216,15
multiple,0.96,0,15
vanilla,0.94,0.04081632653061224,16
multiple,0.98,0,16
vanilla,0.88,0.022222222222222223,17
multiple,0.96,0,17
vanilla,0.9,0.0425531914893617,18
multiple,0.98,0,18
vanilla,0.94,0.06,19
multiple,0.98,0,19
vanilla,0.92,0.061224489795918366,20
multiple,0.98,0,20
