method,power,fdp,seedB
vanilla,0.8,0.058823529411764705,1
multiple,0.85,0.03409090909090909,1
vanilla,0.86,0.13131313131313133,2
multiple,0.85,0.0449438202247191,2
vanilla,0.81,0.047058823529411764,3
multiple,0.85,0.0449438202247191,3
vanilla,0.89,0.11,4
multiple,0.86,0.033707865168539325,4
vanilla,0.91,0.125,5
multiple,0.85,0.03409090909090909,5
vanilla,0.76,0.09523809523809523,6
multiple,0.85,0.03409090909090909,6
vanilla,0.9,0.1743119266055046,7
multiple,0.86,0.033707865168539325,7
vanilla,0.88,0.2,8
multiple,0.86,0.044444444444444446,8
vanilla,0.84,0.08695652173913043,9
multiple,0.86,0.054945054945054944,9
vanilla,0.84,0.06666666666666667,10
multiple,0.86,0.033707865168539325,10
vanilla,0.87,0.09375,11
multiple,0.86,0.044444444444444446,11
vanilla,0.91,0.07142857142857142,12
multiple,0.86,0.054945054945054944,12
vanilla,0.88,0.10204081632653061,13
multiple,0.85,0.03409090909090909,13
vanilla,0.95,0.13636363636363635,14
multiple,0.86,0.033707865168539325,14
vanilla,0.87,0.07446808510638298,15
multiple,0.85,0.0449438202247191,15
vanilla,0.89,0.08247422680412371,16
multiple,0.85,0.03409090909090909,16
vanilla,0.9,0.1509433962264151,17
multiple,0.85,0.0449438202247191,17
vanilla,0.9,0.07216494845360824,18
multiple,0.86,0.044444444444444446,18
vanilla,0.86,0.06521739130434782,19
multiple,0.86,0.033707865168539325,19
vanilla,0.9,0.14285714285714285,20
multiple,0.85,0.0449438202247191,20
