method,power,fdp,seedB
vanilla,0.97,0.09345794392523364,1
multiple,0.98,0.02,1
vanilla,0.97,0.08490566037735849,2
multiple,0.98,0.0297029702970297,2
vanilla,0.89,0.02197802197802198,3
multiple,0.98,0.02,3
vanilla,0.95,0.06862745098039216,4
multiple,0.97,0.020202020202020204,4
vanilla,0.96,0.1111111111111111,5
multiple,0.98,0.02,5
vanilla,0.96,0.07692307692307693,6
multiple,0.98,0.0297029702970297,6
vanilla,0.9,0.0425531914893617,7
multiple,0.98,0.02,7
vanilla,0.96,0.06796116504854369,8
multiple,0.98,0.02,8
vanilla,0.94,0.08737864077669903,9
multiple,0.97,0.020202020202020204,9
vanilla,0.98,0.14035087719298245,10
multiple,0.98,0.02,10
vanilla,0.94,0.04081632653061224,11
multiple,0.98,0.02,11
vanilla,0.96,0.12727272727272726,12
multiple,0.98,0.02,12
vanilla,0.97,0.12612612612612611,13
multiple,0.97,0.020202020202020204,13
vanilla,0.98,0.125,14
multiple,0.98,0.02,14
vanilla,0.93,0.1308411214953271,15
multiple,0.97,0.020202020202020204,15
vanilla,0.95,0.0594059405940594,16
multiple,0.97,0.020202020202020204,16
vanilla,0.96,0.13513513513513514,17
multiple,0.95,0.020618556701030927,17
vanilla,0.93,0.07920792079207921,18
multiple,0.98,0.02,18
vanilla,0.96,0.1111111111111111,19
multiple,0.97,0.020202020202020204,19
vanilla,0.97,0.03,20
multiple,0.97,0.020202020202020204,20
