method,power,fdp,seedB
vanilla,0.89,0.09183673469387756,1
multiple,0.84,0.045454545454545456,1
vanilla,0.91,0.19469026548672566,2
multiple,0.83,0.04597701149425287,2
vanilla,0.82,0.1276595744680851,3
multiple,0.84,0.034482758620689655,3
vanilla,0.9,0.1,4
multiple,0.83,0.03488372093023256,4
vanilla,0.88,0.10204081632653061,5
multiple,0.84,0.045454545454545456,5
vanilla,0.82,0.06818181818181818,6
multiple,0.84,0.045454545454545456,6
vanilla,0.81,0.05813953488372093,7
multiple,0.84,0.034482758620689655,7
vanilla,0.78,0.060240963855421686,8
multiple,0.82,0.03529411764705882,8
vanilla,0.71,0.06578947368421052,9
multiple,0.84,0.034482758620689655,9
vanilla,0.85,0.11458333333333333,10
multiple,0.83,0.023529411764705882,10
vanilla,0.83,0.11702127659574468,11
multiple,0.82,0.023809523809523808,11
vanilla,0.78,0.060240963855421686,12
multiple,0.83,0.04597701149425287,12
vanilla,0.87,0.12121212121212122,13
multiple,0.83,0.04597701149425287,13
vanilla,0.87,0.11224489795918367,14
multiple,0.83,0.04597701149425287,14
vanilla,0.83,0.07777777777777778,15
multiple,0.84,0.034482758620689655,15
vanilla,0.82,0.05747126436781609,16
multiple,0.82,0.046511627906976744,16
vanilla,0.83,0.04597701149425287,17
multiple,0.84,0.045454545454545456,17
vanilla,0.8,0.06976744186046512,18
multiple,0.84,0.034482758620689655,18
vanilla,0.68,0.02857142857142857,19
multiple,0.84,0.034482758620689655,19
vanilla,0.79,0.036585365853658534,20
multiple,0.84,0.034482758620689655,20
