method,power,fdp,seedB
vanilla,0.99,0.038834951456310676,1
multiple,0.96,0,1
vanilla,0.98,0.08411214953271028,2
multiple,0.96,0,2
vanilla,0.96,0.06796116504854369,3
multiple,0.96,0,3
vanilla,0.96,0.058823529411764705,4
multiple,0.96,0,4
vanilla,0.96,0.06796116504854369,5
multiple,0.96,0.010309278350515464,5
vanilla,0.96,0.09433962264150944,6
multiple,0.96,0.010309278350515464,6
vanilla,0.97,0.0761904761904762,7
multiple,0.96,0.010309278350515464,7
vanilla,0.96,0.04950495049504951,8
multiple,0.97,0.01020408163265306,8
vanilla,0.96,0.06796116504854369,9
multiple,0.96,0,9
vanilla,0.96,0.07692307692307693,10
multiple,0.97,0.01020408163265306,10
vanilla,0.97,0.03,11
multiple,0.96,0.010309278350515464,11
vanilla,0.94,0.04081632653061224,12
multiple,0.96,0,12
vanilla,0.95,0.020618556701030927,13
multiple,0.96,0,13
vanilla,0.86,0.011494252873563218,14
multiple,0.96,0,14
vanilla,0.95,0.0594059405940594,15
multiple,0.96,0.010309278350515464,15
vanilla,0.98,0.08411214953271028,16
multiple,0.97,0,16
vanilla,1,0.1452991452991453,17
multiple,0.96,0.010309278350515464,17
vanilla,0.98,0.09259259259259259,18
multiple,0.96,0,18
vanilla,0.94,0.030927835051546393,19
multiple,0.97,0,19
vanilla,0.94,0.0784313725490196,20
multiple,0.97,0.01020408163265306,20
