vkn,mkn,truth,mknn
0,0,0,NA
0,0,0,NA
0,0,0,NA
0,0,0,NA
0,0,0,NA
0,0,0,NA
0,0,0,NA
0,0,0,NA
0,0,0,NA
20,0,0.3091417463417691,1
0,0,0,NA
0,0,0,NA
0,0,0,NA
0,0,0,NA
0,0,0,NA
0,0,0,NA
0,0,0,NA
0,0,0,NA
0,0,0,NA
20,0,-0.33882725097359156,1
0,0,0,NA
0,0,0,NA
0,0,0,NA
0,0,0,NA
0,0,0,NA
0,0,0,NA
0,0,0,NA
0,0,0,NA
0,0,0,NA
20,0,0.3349394905721901,1
0,0,0,NA
0,0,0,NA
0,0,0,NA
0,0,0,NA
0,0,0,NA
0,0,0,NA
0,0,0,NA
0,0,0,NA
0,0,0,NA
19,0,-0.2517999768198174,1
0,0,0,NA
0,0,0,NA
0,0,0,NA
0,0,0,NA
0,0,0,NA
0,0,0,NA
0,0,0,NA
1,0,0,NA
0,0,0,NA
20,0,0.3084993419266808,1
0,0,0,NA
0,0,0,NA
0,0,0,NA
0,0,0,NA
0,0,0,NA
0,0,0,NA
0,0,0,NA
0,0,0,NA
0,0,0,NA
20,0,-0.29570490132860094,1
0,0,0,NA
0,0,0,NA
0,0,0,NA
0,0,0,NA
0,0,0,NA
0,0,0,NA
0,0,0,NA
0,0,0,NA
1,0,0,NA
19,0,0.3272840684482339,1
0,0,0,NA
0,0,0,NA
0,0,0,NA
0,0,0,NA
0,0,0,NA
0,0,0,NA
0,0,0,NA
0,0,0,NA
0,0,0,NA
20,0,-0.3091015750639443,1
0,0,0,NA
0,0,0,NA
0,0,0,NA
0,0,0,NA
0,0,0,NA
0,0,0,NA
0,0,0,NA
0,0,0,NA
0,0,0,NA
20,0,0.2747420490604748,1
0,0,0,NA
0,0,0,NA
0,0,0,NA
0,0,0,NA
0,0,0,NA
0,0,0,NA
0,0,0,NA
0,0,0,NA
0,0,0,NA
20,0,-0.20427430581292713,1
0,0,0,NA
0,0,0,NA
0,0,0,NA
16,0,0,1
0,0,0,NA
0,0,0,NA
0,0,0,NA
0,0,0,NA
0,0,0,NA
